Rank,Player,Rating
1,Exequiel Palacios,8.05
2,Harry Kane,7.98
3,Alejandro Grimaldo,7.98
4,Serhou Guirassy,7.92
5,Leroy Sané,7.82
6,Florian Wirtz,7.81
7,Xavi Simons,7.81
8,Victor Okoh Boniface,7.77
9,Granit Xhaka,7.71
10,Kevin Stöger,7.69
11,Jamal Musiala,7.67
12,Deniz Undav,7.63
13,Jonas Hofmann,7.59
14,Andrej Kramaric,7.55
15,Maximilian Mittelstaedt,7.55
16,Ikoma Lois Openda,7.53
17,Jan-Niklas Beste,7.52
18,Angelo Stiller,7.51
19,Joshua Kimmich,7.50
20,David Raum,7.48
21,Xaver Schlager,7.47
22,Chris Führich,7.46
22,Alphonso Davies,7.46
22,Nico Schlotterbeck,7.46
25,Odilon Kossounou,7.44
26,Jeremie Frimpong,7.44
27,Edmond Tapsoba,7.43
28,Amadou Haidara,7.41
29,Anton Stach,7.40
30,Dani Olmo,7.37
31,Mitchell Weiser,7.36
31,Jonathan Tah,7.36
33,Robert Andrich,7.35
34,Emre Can,7.34
35,Omar Marmoush,7.34
36,Leon Goretzka,7.33
37,Kingsley Coman,7.33
38,Vincenzo Grifo,7.32
39,Marvin Ducksch,7.31
40,Franck Honorat,7.31
41,Atakan Karazor,7.31
42,Julian Brandt,7.30
43,Benjamin Henrichs,7.30
44,Piero Hincapié,7.28
45,Raphaël Guerreiro,7.28
46,Donyell Malen,7.28
47,Enzo Millot,7.26
48,Waldemar Anton,7.26
49,Min-Jae Kim,7.25
50,Thomas Müller,7.23
51,Maximilian Beier,7.21
52,Marco Reus,7.20
53,Florian Grillitsch,7.20
54,Willian Pacho,7.17
55,Ermedin Demirovic,7.17
56,Ellyes Skhiri,7.17
57,Noussair Mazraoui,7.16
57,Dan-Axel Zagadou,7.16
59,Mats Hummels,7.15
60,Willi Orban,7.14
61,Hiroki Ito,7.13
62,Amine Adli,7.12
63,Robin Gosens,7.11
64,Sepp van den Berg,7.10
65,Niclas Füllkrug,7.10
66,Julian Weigl,7.09
67,Marcel Sabitzer,7.09
68,Maximilian Arnold,7.08
69,Mohamed Simakan,7.08
69,Keven Schlotterbeck,7.08
69,Castello Lukeba,7.08
72,Marco Friedl,7.07
73,Julian Ryerson,7.06
73,Patrick Mainka,7.06
73,Jae-Sung Lee,7.06
73,Ritsu Doan,7.06
73,Timo Hübers,7.06
73,Leandro Barreiro,7.06
79,Tuta,7.05
80,Aleksandar Pavlovic,7.04
81,Anthony Caci,7.04
82,Jens Stage,7.04
83,Eren Dinkci,7.04
84,Jonas Wind,7.04
85,Lovro Majer,7.03
86,Dayot Upamecano,7.03
87,Brajan Gruda,7.03
88,Romano Schmid,7.02
89,Tim Kleindienst,7.02
89,Mario Götze,7.02
91,Dominik Kohr,7.01
92,Rocco Reitz,7.01
93,Maximilian Wöber,7.01
93,Matthijs de Ligt,7.01
95,Wout Weghorst,7.00
96,Lucas Höler,6.99
97,Pavel Kaderabek,6.99
98,Alassane Plea,6.99
99,Konrad Laimer,6.99
100,Marvin Mehlem,6.98
101,Joakim Mæhle,6.97
102,Iago,6.97
103,Grischa Prömel,6.97
103,Jeffrey Gouweleeuw,6.97
103,Maximilian Wittek,6.97
106,Mattias Svanberg,6.96
106,Julian Chabot,6.96
108,Max Finkgrafe,6.96
109,Fabian Nürnberger,6.96
109,Jan Schöppner,6.96
111,Lukas Hradecky,6.95
112,Eric Ebimbe,6.94
113,Kouadio Koné,6.94
114,Robin Koch,6.94
114,Michael Zetterer,6.94
114,Oliver Baumann,6.94
117,Bernardo,6.94
118,Patrick Osterhage,6.94
119,Kristijan Jakic,6.94
120,Florian Kainz,6.94
121,Robert Skov,6.93
122,Josip Juranovic,6.92
122,Felix Agu,6.92
124,Philipp Mwene,6.91
124,Senne Lynen,6.91
124,Anthony Losilla,6.91
127,Patrik Schick,6.91
128,Nico Elvedi,6.91
128,John Anthony Brooks,6.91
130,Fredrik Jensen,6.90
131,Robin Hack,6.90
132,Florian Neuhaus,6.89
133,Robin Knoche,6.89
134,Kevin Mbabu,6.88
135,Maxence Lacroix,6.88
135,Justin Njinmah,6.88
137,Nicolas Höfler,6.87
137,Jonathan Burkardt,6.87
139,Michael Gregoritsch,6.87
140,Matthias Bader,6.87
141,Anthony Jung,6.86
141,Leonardo Bittencourt,6.86
143,Niels Nkounkou,6.86
144,Ozan Kabak,6.85
144,Tim Skarke,6.85
146,Niklas Süle,6.85
146,Felix Nmecha,6.85
148,Gregor Kobel,6.85
148,Fares Chaibi,6.85
148,Felix Uduokhai,6.85
151,Kevin Kampl,6.84
152,Eric Martel,6.84
153,Benjamin Sesko,6.84
154,Maximilian Eggestein,6.83
155,Edimilson Fernandes,6.82
156,Josha Vagnoman,6.82
157,Phillip Tietz,6.82
158,Elvis Rexhbecaj,6.81
159,Omar Traoré,6.80
159,Niklas Dorsch,6.80
159,Aster Vranckx,6.80
162,Ihlas Bebou,6.79
163,Kevin Paredes,6.79
164,Ansgar Knauff,6.79
165,Ruben Vargas,6.79
165,Philipp Max,6.79
167,Jamie Bynoe-Gittens,6.78
167,Salih Özcan,6.78
167,Roland Sallai,6.78
170,Tom Krauss,6.77
170,Christopher Trimmel,6.77
170,Ko Itakura,6.77
173,András Schäfer,6.77
174,Matthias Ginter,6.77
174,Luca Netz,6.77
176,Robin Zentner,6.76
176,Tobias Kempe,6.76
178,Yannick Gerhardt,6.76
179,Mathys Tel,6.76
180,Olivier Deman,6.75
181,Philipp Hofmann,6.75
182,Hugo Larsson,6.75
182,Marius Wolf,6.75
184,Kevin Behrens,6.75
185,Silvan Widmer,6.75
185,Merlin Röhl,6.75
185,Fabian Holland,6.75
188,Jamie Leweling,6.74
188,Diogo Leite,6.74
188,Ridle Baku,6.74
191,Janik Haberer,6.73
192,Silas Katompa Mvumpa,6.72
192,Mads Valentin Pedersen,6.72
192,Lukas Klostermann,6.72
195,Frederik Rønnow,6.71
196,Lukas Kübler,6.70
196,Emir Karic,6.70
198,Danilho Doekhi,6.70
199,Benedikt Gimber,6.69
200,Gian-Luca Waldschmidt,6.69
200,Rani Khedira,6.69
200,Cristian Gamboa,6.69
203,Alexander Nübel,6.68
204,Yussuf Poulsen,6.68
205,Kilian Sildillia,6.68
205,Manuel Riemann,6.68
205,Dejan Ljubicic,6.68
208,Jordy Makengo,6.67
208,Jordan Pefok,6.67
208,Marvin Pieringer,6.67
211,Lucas Tousart,6.66
211,Woo-Yeong Jeong,6.66
211,Moritz Jenz,6.66
214,Lennard Maloney,6.65
214,Aurelio Buta,6.65
216,Nick Woltemade,6.64
217,Davie Selke,6.63
217,Kevin Sessa,6.63
217,Kevin Vogt,6.63
220,Adrian Beck,6.62
220,Nathan N'Goumou,6.62
220,Jan Thielmann,6.62
223,Milos Veljkovic,6.62
224,Noah Weisshaupt,6.61
224,Jonas Föhrenbach,6.61
224,Karim Adeyemi,6.61
224,Václav Cerny,6.61
224,Denis Huseinbasic,6.61
229,Norman Theuerkauf,6.60
230,Christoph Baumgartner,6.59
230,Luca Pfeiffer,6.59
232,Takuma Asano,6.58
233,Finn Dahmen,6.58
234,Marius Bülter,6.58
235,Umut Tohumcu,6.57
236,Arne Engels,6.56
236,Joseph Scally,6.56
238,Christopher Antwi-Adjej,6.55
239,Moritz Nicolas,6.55
240,Alex Kral,6.54
241,Kevin Müller,6.54
242,Ivan Ordets,6.54
243,Noah Atubolu,6.53
244,Aissa Laidouni,6.53
244,Marvin Friedrich,6.53
244,Matus Bero,6.53
247,Brenden Aaronson,6.53
248,Manuel Gulde,6.53
249,Janis Blaswich,6.52
249,Linton Maina,6.52
249,Benno Schmitz,6.52
252,Kevin Trapp,6.52
253,Christoph Klarer,6.51
254,Koen Casteels,6.49
255,Manuel Neuer,6.48
255,Marco Richter,6.48
257,Erhan Masovic,6.47
258,Kevin Volland,6.47
259,Tomas Cvancara,6.46
260,Karim Onisiwo,6.46
261,Bartol Franjic,6.44
262,Cedric Zesiger,6.42
262,Steffen Tigges,6.42
264,Sebastiaan Bornauw,6.42
265,Leart Paqarada,6.41
