Rank,Player,Rating
1,Kylian Mbappé,7.91
2,Pierre Lees-Melou,7.69
3,Aleksandr Golovin,7.69
4,Téji Savanier,7.69
5,Vitinha,7.61
6,Youssouf Fofana,7.57
7,Wilfried Singo,7.53
8,Manuel Ugarte,7.52
9,Romain Del Castillo,7.50
10,Ousmane Dembélé,7.49
11,Achraf Hakimi,7.48
12,Maxence Caqueret,7.40
12,Kenny Lala,7.40
12,Florian Sotoca,7.40
15,Bradley Locko,7.39
16,Benjamin André,7.39
17,Georges Mikautadze,7.38
18,Bafodé Diakité,7.38
19,Vanderson,7.37
20,Jonathan Clauss,7.36
21,Jonathan David,7.36
22,Teddy Teuma,7.36
23,Pierre-Emerick Aubameyang,7.36
24,Leonardo Balerdi,7.35
25,Ruben Aguilar,7.32
26,Junya Ito,7.31
27,Marquinhos,7.30
28,Denis Zakaria,7.30
28,Marco Asensio,7.30
30,Dante,7.29
31,Kang-In Lee,7.28
32,Benjamin Bourigeaud,7.27
33,Takumi Minamino,7.27
34,Fabián Ruiz,7.27
35,Lucas Hernández,7.27
36,Alexandre Lacazette,7.27
37,Laurent Abergel,7.26
38,Melvin Bard,7.26
39,Christopher Operi,7.26
40,Jean-Clair Todibo,7.26
41,Romain Faivre,7.25
42,Jeremie Boga,7.25
42,Edon Zhegrova,7.25
44,Ismail Jakobs,7.25
45,Gianluigi Donnarumma,7.24
45,Joseph Okumu,7.24
47,Facundo Medina,7.24
48,Tiago Santos,7.24
49,Emmanuel Agbadou,7.24
50,Danilo Pereira,7.23
51,Nemanja Matic,7.23
52,Kevin Danso,7.22
53,Nabil Bentaleb,7.22
54,Azor Matusiwa,7.22
55,Maghnes Akliouche,7.21
56,Khéphren Thuram-Ulien,7.19
57,Angel Gomes,7.18
58,Wissam Ben Yedder,7.17
58,Arnaud Nordin,7.17
60,Goncalo Ramos,7.16
61,Thijs Dallinga,7.16
62,Ismaily,7.16
63,Muhammed-Cham Saracevic,7.15
64,Warren Zaire-Emery,7.14
64,Lilian Brassier,7.14
66,Bradley Barcola,7.14
67,Jordan Veretout,7.14
68,Stijn Spierings,7.13
69,Matthieu Udol,7.13
70,Frédéric Guilbert,7.11
71,Mohamed Daramy,7.11
72,Alidu Seidu,7.09
73,Enzo Le Fee,7.08
74,Gabriel Suazo,7.08
75,Brendan Chardonnet,7.07
76,Dilane Bakwa,7.07
77,Lamine Camara,7.07
78,Przemyslaw Frankowski,7.06
79,Joris Chotard,7.06
79,Alexsandro Ribeiro,7.06
81,Mahdi Camara,7.06
82,Rémy Cabella,7.05
83,Arthur Theate,7.05
84,Vincent Sierro,7.05
85,Neil El Aynaoui,7.04
85,Issiaga Sylla,7.04
87,Samuel Gigot,7.03
88,Martin Terrier,7.03
89,Corentin Tolisso,7.02
89,Logan Costa,7.02
91,Amine Harit,7.02
92,Amine Gouiri,7.01
92,Marshall Munetsi,7.01
94,Krepin Diatta,7.01
95,Chancel Mbemba,7.00
95,Yunis Abdelhamid,7.00
97,Florent Mollet,7.00
98,Baptiste Santamaria,6.99
99,Ainsley Maitland-Niles,6.99
99,Niklas Schmidt,6.99
99,Clinton Mata,6.99
102,Neto Borges,6.99
103,Marvin Senaya,6.99
104,Quentin Merlin,6.98
105,David Costa,6.97
105,Rayan Cherki,6.97
107,Randal Kolo Muani,6.96
108,Anthony Lopes,6.96
109,Musa Al-Taamari,6.96
110,Leny Yoro,6.96
111,Désiré Doué,6.96
112,Carlos Soler,6.95
113,Rasmus Nicolaisen,6.95
114,Geoffrey Kondogbia,6.94
114,Hugo Magnetti,6.94
116,Guéla Doué,6.94
116,Christian Mawissa,6.94
118,Cristian Casseres Jr.,6.94
119,Benjamin Lecomte,6.93
119,Jonathan Gradit,6.93
121,Daler Kuzyaev,6.93
122,Gautier Lloris,6.92
123,Julien Ponceau,6.92
123,Kiki Kouyaté,6.92
123,Moses Simon,6.92
126,Arouna Sangante,6.92
126,Youssouf Ndayishimiye,6.92
128,Abdoulaye Touré,6.91
129,Étienne Youté Kinkoué,6.90
130,Morgan Sanson,6.90
131,Moussa Diarra,6.89
131,Pablo Rosario,6.89
133,Jake O'Brien,6.88
134,Ismaila Sarr,6.88
135,Douglas Augusto,6.88
136,Adrien Truffert,6.88
137,Milan Skriniar,6.88
138,Nicolás Tagliafico,6.87
138,Abakar Sylla,6.87
138,Christopher Wooh,6.87
141,Pedro Chirivella,6.87
142,Nicolas Pallois,6.87
143,Lucas Chevalier,6.87
144,Brice Samba,6.87
145,Azzedine Ounahi,6.86
146,Jean-Charles Castelletto,6.85
146,Steve Mandanda,6.85
146,Vitor Oliveira,6.85
149,Marco Bizot,6.85
150,Habib Diarra,6.85
151,Eray Cömert,6.85
151,Ernest Nuamah,6.85
151,Mikkel Desler,6.85
154,Johan Gastien,6.84
154,Martin Satriano,6.84
156,Hichem Boudaoui,6.84
157,Nabil Alioui,6.83
158,Arnaud Kalimuendo-Muinga,6.83
159,Angelo Gabriel,6.83
159,Guillermo Maripan,6.83
159,Warmed Omari,6.83
159,Darline Yongwa,6.83
163,Becir Omeragic,6.82
163,Junior Mwanga,6.82
165,Marcin Bulka,6.82
166,Mory Diaw,6.82
167,Lucas Perrin,6.82
168,Loic Nego,6.82
169,Terem Moffi,6.81
170,Yoann Salmier,6.81
171,Habib Keita,6.80
172,Kamory Doumbia,6.80
173,Thomas Delaine,6.80
174,Ibrahima Sissoko,6.79
174,Tiemoué Bakayoko,6.79
174,André Ayew,6.79
177,Angelo Fulgini,6.78
178,Yusuf Yazici,6.78
179,Josué Casimir,6.78
180,Iliman Ndiaye,6.78
181,Deiver Machado,6.77
181,Formose Mendy,6.77
181,Duje Caleta-Car,6.77
181,Montassar Talbi,6.77
185,Arthur Desmas,6.77
186,Theo Le Bris,6.77
187,Christopher Jullien,6.76
187,Maxime Gonalons,6.76
189,Andy Diouf,6.76
190,Jean-Kevin Duverne,6.75
191,Akor Adams,6.75
192,Mostafa Mohamed,6.74
193,Jordan Lotomba,6.74
194,Falaye Sacko,6.74
195,Jeanuël Belocian,6.74
195,Steve Mounie,6.74
197,Marcus Regis Coco,6.73
197,Elye Wahi,6.73
199,Yehvann Diouf,6.73
200,Folarin Balogun,6.72
201,Matthis Abline,6.72
202,Jordan Ferri,6.71
203,Gabriel Gudmundsson,6.70
203,Mathias Pereira-Lage,6.70
203,Souleymane Touré,6.70
206,Amir Richardson,6.70
207,Adrien Thomasson,6.69
208,Jim Allevinah,6.69
209,Alexandre Oukidja,6.68
210,Alban Lafont,6.68
211,Jonas Martin,6.67
212,Warren Kamanzi,6.66
213,Cheikh Sabaly,6.66
213,Aron Dønnum,6.66
215,Fali Candé,6.66
216,Mohamed Bayo,6.66
217,Pau Lopez,6.65
217,Maxime Colin,6.65
217,Gaëtan Laborde,6.65
217,Mohamed-Ali Cho,6.65
217,Andy Pelmard,6.65
222,Ludovic Blas,6.64
223,Kévin Gameiro,6.64
224,Mehdi Zeffane,6.64
225,Matz Sels,6.63
225,Moussa Sissoko,6.63
225,Chrislain Matsima,6.63
225,Thomas Foket,6.63
229,Yassine Kechta,6.63
230,Shamar Nicholson,6.62
231,Emmanuel Sabbi,6.62
232,Christophe Hérelle,6.61
232,Samuel Moutoussamy,6.61
232,Wesley Said,6.61
235,Keito Nakamura,6.61
236,Kévin N'Doram,6.60
236,Frank Magri,6.60
238,Khalil Fayad,6.59
238,Thibault De Smet,6.59
240,Emanuel Emegha,6.59
241,Abdoul Kader Bamba,6.59
241,Hákon Arnar Haraldsson,6.59
243,Philipp Köhn,6.59
244,Ismaël Doukouré,6.58
244,Reda Khadra,6.58
246,Evann Guessand,6.58
247,Danley Jean Jacques,6.58
248,Oumar Diakité,6.57
249,Jérémy Le Douaron,6.57
249,Salis Abdul Samed,6.57
249,Wahbi Khazri,6.57
252,Yvon Mvogo,6.56
253,Malick Fofana,6.55
254,Elie Kroupi,6.53
254,Guillaume Restes,6.53
256,Yohann Magnin,6.52
257,Kevin Van Den Kerkhof,6.51
258,Maximiliano Caufriez,6.50
259,Ismaël Traoré,6.49
260,Badredine Bouanani,6.47
261,Elbasan Rashani,6.45
262,Tino Kadewere,6.40
262,Aiyegun Tosin,6.40
264,Morgan Guilavogui,6.38
265,Antoine Joujou,6.35
266,Grejohn Kyei,6.32
267,Julien Laporte,6.28
