Rank,Player,Rating
1,Lamine Yamal,8.04
2,Kylian Mbappé,7.98
3,Raphinha,7.90
4,Pedri,7.78
5,Isco,7.71
6,Jude Bellingham,7.59
7,Federico Valverde,7.57
8,Vinicius Junior,7.50
8,Álex Baena,7.50
10,Robert Lewandowski,7.49
11,Daniel Vivian,7.38
12,Yeray Álvarez,7.37
13,Inigo Martinez,7.37
14,Rodrygo,7.36
15,Ayoze Pérez,7.36
16,Daniel Raba,7.30
16,Dani Olmo,7.30
18,Jules Koundé,7.28
19,Arda Güler,7.27
20,Luis Milla,7.26
21,Marcos Llorente,7.25
22,Luka Modric,7.24
23,Sergi Cardona,7.22
24,Unai Simon,7.22
25,Aurélien Tchouaméni,7.22
26,Giovani Lo Celso,7.21
27,Julián Álvarez,7.21
28,Eduardo Camavinga,7.21
29,Pablo Barrios,7.20
30,Ferran Torres,7.19
31,Sergio Herrera,7.18
32,Oscar Mingueza,7.18
33,Diego Rico,7.18
34,Nahuel Tenaglia,7.18
35,Omar Alderete,7.18
36,Antoine Griezmann,7.18
37,Joan Garcia,7.17
38,Nayef Aguerd,7.17
39,Marc Casado,7.15
39,Francisco Garcia,7.15
41,Andrei Ratiu,7.14
42,Marko Dmitrovic,7.14
43,Clément Lenglet,7.13
44,Alexander Sørloth,7.13
45,Augusto Batalla,7.12
46,Iago Aspas,7.12
46,Florian Lejeune,7.12
48,Dodi Lukebakio,7.11
49,Marcos Alonso,7.11
50,Yuri Berchiche,7.11
51,Alejandro Balde,7.11
52,Rubén Garcia,7.11
53,Fabio Silva,7.09
54,Daniel Ceballos,7.08
55,Eric Garcia,7.08
56,Mikel Jauregizar,7.08
56,José Gayà,7.08
58,Alejandro Catena,7.08
59,Ante Budimir,7.07
60,Johnny Cardoso,7.07
61,Daniel Parejo,7.07
61,Sergio Gomez,7.07
63,Diego Llorente,7.07
64,Aimar Oroz,7.06
65,Lucas Vázquez,7.06
65,Marc Bartra,7.06
67,Jan Oblak,7.06
68,Oscar de Marcos,7.06
68,Raul Asencio,7.06
70,Thibaut Courtois,7.06
71,Santi Comesana,7.05
72,Inigo Ruiz de Galarreta,7.05
73,Enzo Barrenechea,7.05
73,Martin Zubimendi,7.05
73,Mauro Arambarri,7.05
76,Rodrigo De Paul,7.05
77,Javi Galán,7.05
78,Pau Cubarsi,7.04
79,Inaki Williams,7.04
80,Lucas Torro,7.03
81,Lucien Agoume,7.02
81,Pablo Maffeo,7.02
83,Frenkie de Jong,7.01
84,Santiago Mourino,7.00
85,Nico Williams,7.00
85,Kirian Rodriguez,7.00
87,Sergi Darder,7.00
88,Yéremi Pino,7.00
89,Abdul Mumin,7.00
89,Andoni Gorosabel,7.00
91,David Soria,7.00
92,Oihan Sancet,6.99
93,Takefusa Kubo,6.99
94,Omar El Hilali,6.99
95,Yangel Herrera,6.99
96,Arnau Martinez,6.99
97,Álvaro Garcia,6.99
98,Samuel Dias Lino,6.98
98,Joan Jordán,6.98
100,Loic Badé,6.97
100,Pathé Ciss,6.97
102,Bryan Zaragoza,6.97
103,Alex Berenguer,6.97
104,Nicolas Pépé,6.96
104,Pape Gueye,6.96
106,José Ángel Carmona,6.96
107,Youssouf Sabaly,6.95
107,Kiko,6.95
109,Jorge Sáenz,6.95
110,Antonio Sivera,6.95
111,Raul Moro,6.94
111,Antonio Rüdiger,6.94
113,Djibril Sow,6.93
113,Valentin Rosier,6.93
113,Martin Valjent,6.93
116,Fermin Lopez,6.93
117,Miguel Gutiérrez,6.93
118,Sandro Ramirez,6.93
118,Saul Niguez,6.93
120,Koke,6.93
121,Isi Palazon,6.93
122,Jon Aramburu,6.92
123,Pep Chavarria,6.92
123,Pablo Fornals,6.92
125,Thierno Barry,6.92
126,Carlos Vicente,6.92
127,Robin Le Normand,6.92
127,Brahim Diaz,6.92
129,Samu,6.92
130,Antonio Raillo,6.91
131,Ramon Terrats,6.91
132,Dominik Greif,6.91
133,Javier Puado,6.91
134,Renato Tapia,6.91
135,Sergi Altimira,6.90
136,Juan Iglesias,6.90
136,Alberto Moleiro,6.90
138,Luis Rioja,6.90
139,Leandro Cabrera,6.89
139,Kike Salas,6.89
139,Bryan Gil,6.89
142,Giorgi Mamardashvili,6.89
143,Carlos Romero,6.89
144,Juan Cruz,6.88
144,Giuliano Simeone,6.88
146,Hugo Álvarez,6.88
147,Unai Lopez,6.88
148,Ilaix Moriba,6.87
149,Johan Mojica,6.87
150,Luka Sucic,6.87
151,Yvan Neyou Noupa,6.86
152,Conor Gallagher,6.86
153,Nahuel Molina,6.85
153,Logan Costa,6.85
155,Jasper Cillessen,6.85
156,Pepelu,6.85
156,Flavien Boyomo,6.85
158,Cristhian Mosquera,6.85
159,Gavi,6.85
160,Seydouba Cisse,6.84
161,Jesus Areso,6.84
162,Viktor Tsigankov,6.84
163,Benat Prados,6.84
163,Abdessamad Ezzalzouli,6.84
165,Diego Lopez,6.83
166,Robert Navarro,6.82
166,Daley Blind,6.82
166,Sergio Carreira,6.82
166,Manu Morlanes,6.82
166,Viti,6.82
171,André Almeida,6.81
171,Javier Munoz,6.81
173,Kike Garcia,6.81
174,Aitor Paredes,6.81
175,Natan,6.81
176,José Giménez,6.81
177,Yaser Asprilla,6.81
177,Carl Starfelt,6.81
179,Alex Remiro,6.80
180,Dario Essugo,6.80
180,Abdelkabir Abqar,6.80
182,Vedat Muriqi,6.79
183,Pedro Diaz,6.79
183,Marash Kumbulla,6.79
183,Domingos Duarte,6.79
186,César Tárrega,6.79
187,Ørjan Håskjold Nyland,6.79
188,Ladislav Krejci,6.79
189,Albert Sambi Lokonga,6.79
190,Javier Guerra,6.79
191,Juanlu Sánchez,6.78
192,Chidera Ejuke,6.78
