Rank,Player,Rating
1,Bruno Fernandes,7.80
2,Erling Haaland,7.76
3,Rodri,7.75
4,Kevin De Bruyne,7.74
5,Kieran Trippier,7.74
6,Bukayo Saka,7.68
7,Martin Ødegaard,7.65
8,Harry Kane,7.64
9,Thomas Partey,7.61
10,Bruno Guimaraes,7.61
11,Jack Grealish,7.59
12,Solly March,7.54
13,Ilkay Gündogan,7.50
14,Alexis Mac Allister,7.50
15,Pierre-Emile Højbjerg,7.50
16,James Maddison,7.49
17,Mohamed Salah,7.47
18,Trent Alexander-Arnold,7.45
19,Joelinton,7.44
20,Granit Xhaka,7.43
21,Casemiro,7.42
22,Gabriel Martinelli,7.42
23,Gabriel Jesus,7.42
24,Declan Rice,7.41
25,Ivan Toney,7.39
26,Phil Foden,7.35
27,Fabian Schär,7.35
27,Marcus Rashford,7.35
29,Ruben Neves,7.34
30,Kaoru Mitoma,7.32
31,Christian Nørgaard,7.32
32,Diogo Dalot,7.32
33,Moisés Caicedo,7.32
34,Willian,7.31
35,Douglas Luiz,7.30
36,Riyad Mahrez,7.30
37,Pascal Gross,7.30
38,Eberechi Eze,7.27
39,Alex Iwobi,7.27
40,Oleksandr Zinchenko,7.27
41,Miguel Almiron,7.26
42,Kenny Tete,7.26
43,Jadon Sancho,7.26
44,William Saliba,7.25
45,Michael Olise,7.25
46,Youri Tielemans,7.22
47,James Ward-Prowse,7.22
48,Lucas Paquetá,7.22
49,Luke Shaw,7.21
50,Antony,7.21
51,Jorginho,7.20
52,Thiago Silva,7.19
53,Ruben Dias,7.19
54,Joao Palhinha,7.19
54,Emiliano Martinez,7.19
56,Nathan Aké,7.18
57,Kalidou Koulibaly,7.18
58,Ethan Pinnock,7.16
58,Roberto Firmino,7.16
60,Heung-Min Son,7.16
61,Virgil van Dijk,7.16
62,Andrew Robertson,7.16
63,David Raya,7.16
64,Ben White,7.16
65,Mathias Jensen,7.16
66,Ben Mee,7.15
66,Tyler Adams,7.15
68,Gabriel,7.14
69,Jacob Ramsey,7.14
70,Marcus Tavernier,7.13
71,John Stones,7.13
71,Antonee Robinson,7.13
71,Bernardo Silva,7.13
74,Leandro Trossard,7.13
75,Bryan Mbeumo,7.12
76,Cheick Oumar Doucouré,7.12
76,Alexander Isak,7.12
78,Idrissa Gana Gueye,7.12
79,John McGinn,7.12
80,Dwight McNeil,7.12
81,Dejan Kulusevski,7.11
82,Christian Eriksen,7.11
83,Ollie Watkins,7.11
84,Pervis Estupinán,7.10
85,Lisandro Martinez,7.10
86,Cody Gakpo,7.09
87,Joseph Willock,7.09
88,Allan Saint-Maximin,7.08
89,Callum Wilson,7.08
90,Fabinho,7.07
91,Philip Billing,7.06
92,Emerson Royal,7.06
93,Joachim Andersen,7.06
94,Sven Botman,7.05
95,Aleksandar Mitrovic,7.05
96,Serge Aurier,7.04
97,Alisson Becker,7.04
98,Jefferson Lerma,7.04
99,Daniel Burn,7.03
100,Nick Pope,7.03
100,Diogo Jota,7.03
102,Marc Cucurella,7.03
103,Kiernan Dewsbury-Hall,7.02
104,Marc Guehi,7.02
105,Amadou Onana,7.01
106,Ivan Perisic,7.01
106,Cristian Romero,7.01
108,Kyle Walker,7.00
108,Tosin Adarabioyo,7.00
108,Joseph Gomez,7.00
108,Manuel Akanji,7.00
112,Morgan Gibbs-White,7.00
113,Bernd Leno,7.00
