Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Max Aarons,eng ENG,DF,Valencia,es La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0,0,0,0,0
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
4,James Abankwah,ie IRL,DF,Udinese,it Serie A,20,2004,6,0,88,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,16,11,"1,033",11.5,0,0,0,0,0,0,2,0,0,0,0,0,0
7,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,24,1999,32,32,"2,842",31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.1,0.13
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0
9,Ali Abdi,tn TUN,MF,Nice,fr Ligue 1,30,1993,25,17,"1,393",15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45
10,Saud Abdulhamid,sa KSA,MF,Roma,it Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0,0.44,0.44,0,0.44
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,34,33,"2,768",30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33
14,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,24,2000,19,12,"1,090",12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,26,22,"1,901",21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,29,29,"2,463",27.4,0,1,1,0,0,0,13,0,0,0.04,0.04,0,0.04
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
