Rank,Player,Rating
1,Cristiano Ronaldo,7.89
2,Lorenzo Insigne,7.76
3,Domenico Berardi,7.74
4,Romelu Lukaku,7.65
5,Rodrigo De Paul,7.54
6,Henrikh Mkhitaryan,7.53
7,Hakan Calhanoglu,7.50
8,Juan Cuadrado,7.48
9,Theo Hernández,7.43
10,Sergej Milinkovic-Savic,7.43
11,Luis Muriel,7.40
12,Federico Chiesa,7.40
13,Ciro Immobile,7.40
14,Robin Gosens,7.35
15,Lorenzo Pellegrini,7.34
16,Giovanni Di Lorenzo,7.34
16,Danilo,7.34
18,Luis Alberto,7.34
19,Piotr Zielinski,7.33
20,Franck Kessié,7.32
21,Ruslan Malinovsky,7.30
22,Milan Badelj,7.28
23,Andrea Belotti,7.26
24,Marcelo Brozovic,7.25
25,Remo Freuler,7.25
26,Achraf Hakimi,7.24
27,Paulo Dybala,7.23
28,Lautaro Martinez,7.23
29,Fabián Ruiz,7.22
30,Nicolo Barella,7.22
31,Junior Messias,7.21
32,Manuel Locatelli,7.18
33,Alex Sandro,7.17
34,Marten de Roon,7.16
35,Antonio Candreva,7.16
36,Josip Ilicic,7.16
37,Rodrigo Bentancur,7.15
38,Diego Demme,7.14
39,Cristian Romero,7.14
40,Federico Dimarco,7.14
41,Davide Calabria,7.14
42,Victor Osimhen,7.12
43,Elseid Hysaj,7.11
44,Duvan Zapata,7.10
45,Dries Mertens,7.10
46,Berat Djimsiti,7.09
46,Alessandro Bastoni,7.09
48,Adrien Rabiot,7.09
49,Roberto Soriano,7.08
50,Francesco Caputo,7.08
51,Álvaro Morata,7.08
52,Adam Ounas,7.07
53,Milan Skriniar,7.06
54,Hirving Lozano,7.06
55,Joao Pedro,7.04
56,Edin Dzeko,7.04
57,Leonardo Spinazzola,7.03
58,Matthijs de Ligt,7.03
59,Cristian Daniel Ansaldi,7.01
60,Joaquin Correa,7.00
61,Simon Kjær,7.00
62,Ante Rebic,6.99
63,Stefan Daniel Radu,6.99
64,Marco Davide Faraoni,6.99
65,Alexis Saelemaekers,6.98
65,Matteo Politano,6.98
67,Rafael Leao,6.98
68,Jordan Veretout,6.98
69,Mattia Zaccagni,6.98
70,Ismael Bennacer,6.97
71,Roberto Pereyra,6.97
72,Davide Zappacosta,6.96
73,Stefan de Vrij,6.95
74,Francesco Acerbi,6.94
75,Bram Nuytinck,6.94
76,Juraj Kucka,6.94
77,Riccardo Orsolini,6.94
78,Vlad Chiriches,6.94
78,Kalidou Koulibaly,6.94
80,Gianluca Mancini,6.93
81,Simone Bastoni,6.93
82,Jeremie Boga,6.92
83,Tiemoué Bakayoko,6.92
84,Gaston Brugman,6.91
85,Wilfried Singo,6.91
86,Leonardo Bonucci,6.91
87,Hans Hateboer,6.90
87,Domenico Criscito,6.90
89,Diego Godin,6.88
90,Omar Colley,6.88
91,Razvan Marin,6.88
92,Matteo Ricci,6.87
92,Pedro Rodriguez,6.87
94,Darko Lazovic,6.86
95,Arthur,6.86
96,M'Bala Nzola,6.86
97,Mario Pasalic,6.86
98,Mario Rui,6.86
99,Musa Barrow,6.85
100,Christian Eriksen,6.85
100,Erick Pulgar,6.85
102,Armando Izzo,6.85
103,Filip Djuricic,6.85
104,Alexis Sánchez,6.85
105,Gleison Bremer,6.85
106,Daniele Verde,6.85
106,Hernani,6.85
106,Gian Marco Ferrari,6.85
109,Giacomo Raspadori,6.85
110,Nahuel Molina,6.84
111,Mattia Destro,6.84
112,Antonin Barak,6.84
112,Borja Mayoral,6.84
114,Aaron Ramsey,6.84
115,José Luis Palomino,6.83
115,Koray Günter,6.83
115,Manuel Lazzari,6.83
118,Hamed Traorè,6.82
118,Cristiano Biraghi,6.82
118,Tommaso Pobega,6.82
121,Ivan Ilic,6.82
122,Dusan Vlahovic,6.81
123,Rodrigo Palacio,6.81
124,Rafael Toloi,6.81
125,Adam Marusic,6.80
126,Giacomo Bonaventura,6.79
127,Tommaso Augello,6.79
128,Lucas Leiva,6.79
129,Roger Ibanez,6.79
130,Simy,6.79
131,Weston McKennie,6.78
132,Arkadiusz Reca,6.78
132,Rolando Mandragora,6.78
132,Ashley Young,6.78
135,Maxime Lopez,6.77
136,Nahitan Nández,6.77
137,Gonzalo Villar,6.76
138,Ivan Perisic,6.76
139,Bryan Cristante,6.75
139,Brahim Diaz,6.75
141,Rick Karsdorp,6.75
142,Gervinho,6.75
142,Nikola Milenkovic,6.75
144,Konstantinos Manolas,6.75
145,Morten Thorsby,6.75
146,Adama Soumaoro,6.74
147,Fabio Quagliarella,6.74
147,Simone Verdi,6.74
149,Albin Ekdal,6.74
149,Jerdy Schouten,6.74
151,Dejan Kulusevski,6.73
151,Maya Yoshida,6.73
153,Jasmin Kurtic,6.73
153,Tolgay Arslan,6.73
155,Mikkel Damsgaard,6.73
155,Alessio Romagnoli,6.73
157,Salvatore Molina,6.72
157,Diego Farias,6.72
157,Tomas Rincon,6.72
160,Roberto Gagliardini,6.72
161,Bartosz Bereszynski,6.71
162,Gianluigi Donnarumma,6.71
163,Matteo Pessina,6.71
163,Pasquale Schiattarella,6.71
163,Joakim Mæhle,6.71
166,Andrea Consigli,6.71
167,Walace,6.70
167,Matteo Darmian,6.70
169,Gaetano Letizia,6.70
169,Rodrigo Becao,6.70
171,Jakub Jankto,6.69
171,Keita Baldé,6.69
173,Adrien Silva,6.69
173,Federico Bernardeschi,6.69
175,Emmanuel Quartsin Gyasi,6.69
176,Lucas Martinez Quarta,6.68
177,Takehiro Tomiyasu,6.68
177,Gianluca Caprari,6.68
179,Rogério,6.67
179,Bruno Peres,6.67
181,Franck Ribéry,6.67
182,Kevin Bonifazi,6.67
182,Arturo Vidal,6.67
184,Nicola Sansone,6.66
185,Gianluca Scamacca,6.66
186,Lorenzo Tonelli,6.65
187,Felipe Caicedo,6.65
188,Mergim Vojvoda,6.65
189,Adrien Tamèze,6.65
190,Giorgos Kyriakopoulos,6.64
191,Wojciech Szczesny,6.63
191,Emil Audero,6.63
193,Emanuel Vignato,6.63
194,Giulio Maggiore,6.62
195,Giangiacomo Magnani,6.62
195,Gregoire Defrel,6.62
197,Miha Zajc,6.62
198,Andreas Skov Olsen,6.62
199,Nicolás Dominguez,6.61
199,Roberto Insigne,6.61
201,Pierluigi Gollini,6.61
201,Leonardo Pavoletti,6.61
201,Charalambos Lykogiannis,6.61
204,Yann Karamoh,6.59
205,Samir,6.58
