"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Harry Kane"";""Bayern Munich"";32;2854;36;8;33.12;6.78;1.04;0.21;1.26;1.14;1.2;0.26",
"2;""Serhou Guirassy"";""VfB Stuttgart"";28;2228;28;3;23.51;7.67;0.95;0.31;1.26;1.14;1.3;0.31",
"3;""Loïs Openda"";""RasenBallsport Leipzig"";34;2772;24;7;24.74;6.52;0.8;0.21;1.02;0.94;0.96;0.14",
"4;""Deniz Undav"";""VfB Stuttgart"";30;2135;18;10;17.09;7.17;0.72;0.3;1.02;0.99;1.11;0.29",
"5;""Maximilian Beier"";""Hoffenheim"";33;2477;16;1;12.46;2.66;0.45;0.1;0.55;0.55;0.57;0.09",
"6;""Andrej Kramaric"";""Hoffenheim"";30;2231;15;6;12.08;9.02;0.49;0.36;0.85;0.7;0.76;0.34",
"7;""Ermedin Demirovic"";""Augsburg"";33;2911;15;9;14.41;4.68;0.45;0.14;0.59;0.5;0.53;0.13",
"8;""Victor Boniface"";""Bayer Leverkusen"";23;1565;14;8;16.99;4.49;0.98;0.26;1.24;1.06;1.22;0.24",
"9;""Benjamin Sesko"";""RasenBallsport Leipzig"";31;1523;14;2;8.6;0.92;0.51;0.05;0.56;0.56;0.69;0.28",
"10;""Donyell Malen"";""Borussia Dortmund"";27;1797;13;1;9.38;3.63;0.47;0.18;0.65;0.65;0.8;0.32",
"11;""Marvin Ducksch"";""Werder Bremen"";33;2734;12;9;12.54;8.12;0.41;0.27;0.68;0.53;0.56;0.24",
"12;""Niclas Füllkrug"";""Borussia Dortmund","Werder Bremen"";31;2453;12;8;14.85;4.51;0.54;0.17;0.71;0.63;0.56;0.13"
"13;""Tim Kleindienst"";""FC Heidenheim"";33;2892;12;3;16.78;2.51;0.52;0.08;0.6;0.55;0.47;0.1",
"14;""Omar Marmoush"";""Eintracht Frankfurt"";29;2343;12;6;11.41;4.69;0.44;0.18;0.62;0.56;0.6;0.11",
"15;""Florian Wirtz"";""Bayer Leverkusen"";32;2393;11;11;9.36;8.89;0.35;0.33;0.69;0.66;1.07;0.57",
"16;""Jonas Wind"";""Wolfsburg"";34;2689;11;7;11.24;4.64;0.38;0.16;0.53;0.51;0.57;0.19",
"17;""Robin Hack"";""Borussia M.Gladbach"";29;1357;10;2;4.57;2.02;0.3;0.13;0.44;0.44;0.49;0.11",
"18;""Jamal Musiala"";""Bayern Munich"";24;1795;10;5;8.37;6.26;0.42;0.31;0.73;0.73;1.21;0.57",
"19;""Eren Sami Dinkci"";""FC Heidenheim"";33;2730;10;4;3.68;4.12;0.12;0.14;0.26;0.26;0.35;0.13",
"20;""Álex Grimaldo"";""Bayer Leverkusen"";33;2787;10;13;5.48;10.64;0.18;0.34;0.52;0.52;0.72;0.45",
"21;""Jeremie Frimpong"";""Bayer Leverkusen"";31;2296;9;7;10.86;6.64;0.43;0.26;0.69;0.69;0.9;0.27",
"22;""Leroy Sané"";""Bayern Munich"";27;2139;8;11;10.46;11.31;0.44;0.48;0.92;0.92;1.24;0.53",
"23;""Vincenzo Grifo"";""Freiburg"";32;2416;8;8;7.68;8.2;0.29;0.31;0.59;0.42;0.47;0.21",
"24;""Chris Führich"";""VfB Stuttgart"";34;2709;8;7;7.51;8.93;0.25;0.3;0.55;0.52;0.83;0.46",
"25;""Jonathan Burkardt"";""Mainz 05"";21;1554;8;2;6.99;2.52;0.4;0.15;0.55;0.51;0.62;0.22",
"26;""Xavi Simons"";""RasenBallsport Leipzig"";32;2738;8;11;7.73;10.54;0.25;0.35;0.6;0.55;0.79;0.41",
