"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Robert Lewandowski"";""Barcelona"";34;2862;23;7;25.94;6.35;0.82;0.2;1.02;0.99;1.16;0.31",
"2;""Karim Benzema"";""Real Madrid"";24;2056;19;3;23.95;6.25;1.05;0.27;1.32;1.06;1.13;0.38",
"3;""Joselu"";""Espanyol"";34;2989;16;2;15.87;2.1;0.48;0.06;0.54;0.43;0.42;0.06",
"4;""Antoine Griezmann"";""Atletico Madrid"";38;2853;15;16;11.75;15.64;0.37;0.49;0.86;0.86;0.97;0.35",
"5;""Borja Iglesias"";""Real Betis"";35;2406;15;3;15.63;2.92;0.58;0.11;0.69;0.53;0.6;0.11",
"6;""Vedat Muriqi"";""Mallorca"";35;2980;15;3;13.94;2.41;0.42;0.07;0.49;0.38;0.37;0.06",
"7;""Enes Ünal"";""Getafe"";35;3013;14;3;11.61;3.36;0.35;0.1;0.45;0.31;0.32;0.1",
"8;""Álvaro Morata"";""Atletico Madrid"";36;1930;13;2;14.65;1.98;0.68;0.09;0.78;0.78;0.75;0.15",
"9;""Valentín Castellanos"";""Girona"";35;2664;13;0;14.02;1.63;0.47;0.06;0.53;0.5;0.48;0.08",
"10;""Iago Aspas"";""Celta Vigo"";37;2852;12;3;10.69;6.54;0.34;0.21;0.54;0.47;0.65;0.28",
"11;""Alexander Sørloth"";""Real Sociedad"";34;2411;12;3;15.47;4.68;0.58;0.17;0.75;0.75;0.81;0.16",
"12;""Nicolas Jackson"";""Villarreal"";26;1617;12;4;8.56;4.14;0.48;0.23;0.71;0.71;0.85;0.17",
"13;""Gabriel Veiga"";""Celta Vigo"";36;2333;11;4;6.08;3.17;0.23;0.12;0.36;0.36;0.51;0.19",
"14;""Iñaki Williams"";""Athletic Club"";36;2884;10;3;11.3;6.16;0.35;0.19;0.54;0.5;0.55;0.12",
"15;""Martin Braithwaite"";""Espanyol"";31;2493;10;2;11.36;1.69;0.41;0.06;0.47;0.47;0.47;0.12",
"16;""Vinícius Júnior"";""Real Madrid"";33;2847;10;9;10.87;9.86;0.34;0.31;0.66;0.66;0.8;0.3",
"17;""Oihan Sancet"";""Athletic Club"";36;2588;10;2;8.51;4.58;0.3;0.16;0.46;0.4;0.56;0.22",
"18;""Cristhian Stuani"";""Girona"";32;1040;9;0;9.91;1.25;0.86;0.11;0.97;0.58;0.49;0.11",
