player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Aaron Cresswell,2020-2021,eng Premier League,92571,36,43.0,11,19,3172.0,3.0,0.0,1.22,0.306,0.528
Aaron Cresswell,2021-2022,eng Premier League,92571,31,40.0,7,13,2728.0,3.0,0.0,1.32,0.226,0.419
Aaron Cresswell,2022-2023,eng Premier League,92571,24,30.0,6,7,2123.0,2.0,0.0,1.272,0.25,0.292
Aaron Cresswell,2023-2024,eng Premier League,92571,1,2.0,0,0,90.0,0.0,0.0,2.0,0.0,0.0
Aaron Hickey,2020-2021,it Serie A,591949,9,14.0,1,4,686.0,2.0,1.0,1.837,0.111,0.444
Aaron Hickey,2021-2022,it Serie A,591949,7,16.0,2,2,494.0,2.0,0.0,2.915,0.286,0.286
Aaron Hickey,2022-2023,eng Premier League,591949,21,25.0,5,9,1713.0,6.0,0.0,1.313,0.238,0.429
Aaron Ramsey,2022-2023,fr Ligue 1,50057,1,0.0,1,1,35.0,1.0,0.0,0.0,1.0,1.0
Aaron Wan-Bissaka,2020-2021,eng Premier League,477758,34,36.0,13,20,3060.0,3.0,0.0,1.059,0.382,0.588
Aaron Wan-Bissaka,2021-2022,eng Premier League,477758,18,33.0,2,6,1614.0,2.0,0.0,1.84,0.111,0.333
Aaron Wan-Bissaka,2022-2023,eng Premier League,477758,16,11.0,8,10,1394.0,2.0,0.0,0.71,0.5,0.625
Aarón Martín,2020-2021,de Bundesliga,251878,1,0.0,1,0,90.0,0.0,0.0,0.0,1.0,0.0
Aarón Martín,2020-2021,es La Liga,251878,17,27.0,4,6,1488.0,1.0,0.0,1.633,0.235,0.353
Aarón Martín,2021-2022,de Bundesliga,251878,1,0.0,1,1,90.0,0.0,0.0,0.0,1.0,1.0
Aarón Martín,2022-2023,de Bundesliga,251878,3,4.0,1,1,234.0,0.0,0.0,1.538,0.333,0.333
Abakar Sylla,2023-2024,fr Ligue 1,962555,4,9.0,0,0,360.0,0.0,0.0,2.25,0.0,0.0
Abdel Abqar,2023-2024,es La Liga,559979,6,5.0,2,1,474.0,3.0,0.0,0.949,0.333,0.167
Abdeldjalil Medioub,2021-2022,fr Ligue 1,596901,6,18.0,1,1,528.0,0.0,0.0,3.068,0.167,0.167
Abdou Diallo,2020-2021,fr Ligue 1,229005,17,11.0,10,13,1412.0,3.0,1.0,0.701,0.588,0.765
Abdou Diallo,2021-2022,fr Ligue 1,229005,10,8.0,4,9,858.0,1.0,0.0,0.839,0.4,0.9
Abdou Diallo,2022-2023,de Bundesliga,229005,5,4.0,2,4,437.0,2.0,0.0,0.824,0.4,0.8
Abdoulaye Bakayoko,2021-2022,fr Ligue 1,855615,4,6.0,0,1,0.0,0.0,0.0,6.0,0.0,0.25
Abdoulaye Bamba,2020-2021,fr Ligue 1,62351,15,23.0,5,5,1259.0,2.0,0.0,1.644,0.333,0.333
Abdoulaye Bamba,2021-2022,fr Ligue 1,62351,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Abdoulaye Bamba,2022-2023,fr Ligue 1,62351,12,31.0,0,1,1080.0,0.0,0.0,2.583,0.0,0.083
Abdoulaye Doucouré,2020-2021,eng Premier League,127187,10,9.0,3,5,853.0,0.0,0.0,0.95,0.3,0.5
Abdoulaye Doucouré,2021-2022,eng Premier League,127187,8,11.0,2,4,695.0,3.0,0.0,1.424,0.25,0.5
Abdoulaye Doucouré,2022-2023,eng Premier League,127187,2,3.0,0,0,125.0,0.0,0.0,2.16,0.0,0.0
Abdoulaye Sylla,2021-2022,fr Ligue 1,807648,2,4.0,0,0,158.0,1.0,0.0,2.278,0.0,0.0
Abdoulaye Touré,2020-2021,fr Ligue 1,181382,13,21.0,1,3,1014.0,1.0,0.0,1.864,0.077,0.231
Abdoulaye Touré,2023-2024,fr Ligue 1,181382,3,5.0,1,1,232.0,1.0,0.0,1.94,0.333,0.333
Abdourahmane Barry,2021-2022,de Bundesliga,536472,1,7.0,0,0,77.0,0.0,0.0,6.0,0.0,0.0
