player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Aaron Ramsdale,2020-2021,eng Premier League,427568,38,63.0,5,7,3420.0,1.0,0.0,1.658,0.132,0.184
Aaron Ramsdale,2021-2022,eng Premier League,427568,34,39.0,12,21,3060.0,1.0,0.0,1.147,0.353,0.618
Aaron Ramsdale,2022-2023,eng Premier League,427568,38,43.0,14,26,3420.0,1.0,0.0,1.132,0.368,0.684
Aaron Ramsdale,2023-2024,eng Premier League,427568,1,1.0,0,1,90.0,0.0,0.0,1.0,0.0,1.0
Aarón Escandell,2020-2021,es La Liga,284430,5,8.0,1,1,450.0,1.0,0.0,1.6,0.2,0.2
Aarón Escandell,2021-2022,es La Liga,284430,3,5.0,1,0,270.0,0.0,0.0,1.667,0.333,0.0
Adrian Semper,2021-2022,it Serie A,317057,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Adrián,2020-2021,eng Premier League,71271,3,9.0,1,1,270.0,0.0,0.0,3.0,0.333,0.333
Agustín Marchesín,2022-2023,es La Liga,54534,19,29.0,6,5,1710.0,3.0,0.0,1.526,0.316,0.263
Aitor Fernández,2020-2021,es La Liga,118997,29,44.0,3,8,2610.0,0.0,0.0,1.517,0.103,0.276
Aitor Fernández,2021-2022,es La Liga,118997,13,29.0,2,1,1167.0,1.0,1.0,2.237,0.154,0.077
Aitor Fernández,2022-2023,es La Liga,118997,21,19.0,8,10,1890.0,1.0,0.0,0.905,0.381,0.476
Aitor Fernández,2023-2024,es La Liga,118997,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Alaa Bellaarouch,2023-2024,fr Ligue 1,667991,7,15.0,0,1,630.0,0.0,0.0,2.143,0.0,0.143
Alban Lafont,2020-2021,fr Ligue 1,357117,38,55.0,5,9,3420.0,2.0,0.0,1.447,0.132,0.237
Alban Lafont,2021-2022,fr Ligue 1,357117,38,48.0,8,15,3420.0,3.0,0.0,1.263,0.211,0.395
Alban Lafont,2022-2023,fr Ligue 1,357117,37,54.0,11,7,3330.0,2.0,0.0,1.459,0.297,0.189
Alban Lafont,2023-2024,fr Ligue 1,357117,7,9.0,2,2,630.0,0.0,0.0,1.286,0.286,0.286
Alberto Cifuentes,2020-2021,es La Liga,7668,2,3.0,1,1,180.0,0.0,0.0,1.5,0.5,0.5
Alberto Paleari,2020-2021,it Serie A,163048,2,2.0,1,1,180.0,0.0,0.0,1.0,0.5,0.5
Alessandro Berardi,2021-2022,it Serie A,127217,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Alessandro Russo,2022-2023,it Serie A,481344,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Alessandro Sorrentino,2023-2024,it Serie A,542588,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Alessio Cragno,2020-2021,it Serie A,12907,34,53.0,6,6,3060.0,1.0,0.0,1.559,0.176,0.176
Alessio Cragno,2021-2022,it Serie A,12907,35,63.0,2,6,3150.0,3.0,0.0,1.8,0.057,0.171
